Coorte,Anno,Regione,Poliomielite,Difterite,Tetano,Pertosse,Epatite B,HIB,Morbillo,Parotite,Rosolia,Varicella,Meningococco C coniugato,Pneumococco Coniugato
2020,2022,Piemonte,"94,79","94,79","94,79","94,79","94,75","94,61","94,44","94,37","94,36","93,72","89,64","91,25"
2020,2022,Valle d'Aosta,"93,31","93,31","93,31","93,31","93,04","93,18","91,6","91,47","91,6","88,58","87,01","89,63"
2020,2022,Lombardia,"97,47","97,46","97,46","97,46","97,45","97,35","97,32","97,28","97,32","96,72","93,89","94,32"
2020,2022,Alto Adige,"78,89","78,87","78,86","78,87","78,89","78,89","76,15","76,15","76,15","76,03","64,3","73,19"
2020,2022,Trentino,"95,18","95,18","95,18","95,18","95,16","95,18","95,11","95,11","95,11","94,52","88,49","91,22"
2020,2022,Veneto,"95,45","95,46","95,48","95,46","95,4","95,33","94,86","94,81","94,86","94,25","91,23","93,96"
2020,2022,Friuli Venezia Giulia,"93,54","93,54","93,55","93,54","93,51","93,47","92,03","92,03","92,03","91,15","85,9","89,36"
2020,2022,Liguria,"92,51","92,53","92,53","92,52","92,46","92,43","90,82","90,8","90,83","89,77","84,68","90,66"
2020,2022,Emilia Romagna,"97,98","97,97","97,99","97,99","97,94","97,79","97,81","97,7","97,82","96,78","93,79","94,98"
2020,2022,Toscana,"96,76","96,78","96,78","96,78","96,67","97,17","95,87","95,8","95,86","94,86","89,65","91,93"
2020,2022,Umbria,"96,49","96,49","96,51","96,49","96,43","96,29","95,73","95,59","95,65","94,09","87,04","94,28"
2020,2022,Marche,"95,11","94,98","94,98","94,98",95,"94,98","93,54","93,51","93,51","91,78","84,46","91,49"
2020,2022,Lazio,"97,15","97,13","97,13","97,12","97,15","97,02","97,37","97,33","97,36","96,37","86,92","90,74"
2020,2022,Abruzzo,"95,1","95,1","95,1","95,1","95,11","95,15","93,36","93,36","93,36","92,9","70,12","90,61"
2020,2022,Molise,"95,49","95,49","95,49","95,49","95,49","95,96","93,99","93,99","93,99","94,57","80,99","94,69"
2020,2022,Campania,"95,05","95,05","95,05","95,05","95,05","95,03","93,68","93,68","93,68","90,48","67,44","87,69"
2020,2022,Puglia,"93,22","93,23","93,23","93,23","93,22","93,17","91,42","91,41","91,42","90,82","82,5","90,94"
2020,2022,Basilicata,"95,71","95,71","95,71","95,71","95,71","95,71","94,01","94,01","94,01","92,66","91,17","94,57"
2020,2022,Calabria,"96,13","96,13","96,13","96,13","96,13","96,13","92,96","92,96","92,96","92,87","91,28","94,58"
2020,2022,Sicilia,"90,35","90,32","90,32","90,32","89,63","90,28","90,14","90,12","90,14","89,2","75,44","87,34"
2020,2022,Sardegna,"92,42","92,44","92,44","92,44","92,36","92,25","92,18","92,15","92,17","91,48","88,09","90,58"
2020,2022,Italia,"95,15","95,14","95,14","95,14","95,05","95,08","94,4","94,37","94,39","93,35","85,6","91,73"
2019,2021,Piemonte,"94,1","94,11","94,11","94,11","94,05","93,98","93,8","93,76","93,8","92,66","89,65","91,11"
2019,2021,Valle d'Aosta,"90,58","90,7","90,81","90,7","90,58","90,58",90,90,90,"83,95","85,93","86,51"
2019,2021,Lombardia,"96,1","96,09","96,09","96,09","96,07","95,96","95,54","95,45","95,5","94,17","93,79","94,07"
2019,2021,Alto Adige,"75,62","75,58","75,58","75,58","75,75","75,54","71,07","71,2","71,22","71,19","60,98","71,71"
2019,2021,Trentino,"94,84","94,84","94,84","94,84","94,88","94,84","94,41","94,41","94,41","93,29","89,5","92,12"
2019,2021,Veneto,"95,5","95,52","95,52","95,5","95,49","95,36","95,21","95,12","95,21","94,48","91,65","94,45"
2019,2021,Friuli Venezia Giulia,"95,01","95,01","95,01","95,01","94,83","94,92","93,67","93,65","93,66","92,69","87,59","91,21"
2019,2021,Liguria,"93,38","93,38","93,38","93,38","93,38","93,27","91,33","91,29","91,33","90,03","78,33","91,28"
2019,2021,Emilia Romagna,"96,42","96,41","96,41","96,41","96,41","96,23","96,05","95,88","95,98","94,61","92,81","94,06"
2019,2021,Toscana,"95,9","95,93","95,93","95,93","95,88","96,3","95,07",95,"95,06","94,01","90,19","91,87"
2019,2021,Umbria,"96,11","96,11","96,11","96,11","96,09",96,"95,14","95,05","95,11","93,22","87,9","94,51"
2019,2021,Marche,"94,23","94,14","94,14","94,14","94,1","94,1","92,81","92,81","92,81","91,06","84,45","90,69"
2019,2021,Lazio,"95,93","95,93","95,93","95,89","95,91","95,84","97,64","97,64","97,64","96,19","86,81","91,42"
2019,2021,Abruzzo,"93,26","93,26","93,26","93,26","93,31","93,2","93,34","93,34","93,34","69,95","39,42","89,32"
2019,2021,Molise,"95,06","95,06","95,06","95,06","95,06","95,06","93,95","93,95","93,95","93,23","0,22","94,51"
